date,Aether Vial value
2013-03-09,16.59
2013-03-10,16.53
2013-03-11,16.59
2013-03-12,16.53
2013-03-13,16.59
2013-03-14,16.47
2013-03-15,16.45
2013-03-16,16.41
2013-03-17,16.43
2013-03-18,16.59
2013-03-19,16.51
2013-03-20,16.47
2013-03-21,16.55
2013-03-22,16.55
2013-03-23,16.36
2013-03-24,16.47
2013-03-25,16.36
2013-03-26,16.51
2013-03-27,16.27
2013-03-28,16.42
2013-03-29,16.54
2013-03-30,16.47
2013-03-31,16.54
2013-04-01,16.54
2013-04-02,16.58
2013-04-03,16.61
2013-04-04,16.59
2013-04-05,16.59
2013-04-06,16.58
2013-04-07,16.42
2013-04-08,16.38
2013-04-09,16.49
2013-04-10,16.5
2013-04-11,16.6
2013-04-12,16.6
2013-04-13,16.6
2013-04-14,16.4
2013-04-15,16.61
2013-04-16,16.93
2013-04-17,16.72
2013-04-18,16.62
2013-04-19,16.49
2013-04-20,16.39
2013-04-21,16.39
2013-04-22,16.49
2013-04-23,16.39
2013-04-24,16.39
2013-04-25,16.39
2013-04-26,16.39
2013-04-27,16.39
2013-04-28,16.39
2013-04-29,16.33
2013-04-30,16.28
2013-05-01,16.24
2013-05-02,16.23
2013-05-03,16.27
2013-05-04,16.28
2013-05-05,16.28
2013-05-06,16.36
2013-05-07,16.3
2013-05-08,16.31
2013-05-09,16.25
2013-05-10,16.22
2013-05-11,16.22
2013-05-12,16.19
2013-05-13,16.15
2013-05-14,16.14
2013-05-15,16.14
2013-05-16,16.14
2013-05-17,16.15
2013-05-18,16.15
2013-05-19,16.14
2013-05-20,16.14
2013-05-21,16.14
2013-05-22,16.12
2013-05-23,16.14
2013-05-24,16.09
2013-05-25,15.99
2013-05-26,15.99
2013-05-27,15.99
2013-05-28,15.95
2013-05-29,15.8
2013-05-30,15.77
2013-05-31,15.66
2013-06-01,15.56
2013-06-02,15.52
2013-06-03,15.54
2013-06-04,15.57
2013-06-05,15.54
2013-06-06,15.52
2013-06-07,15.49
2013-06-08,15.47
2013-06-09,15.4
2013-06-10,15.34
2013-06-11,15.35
2013-06-12,15.13
2013-06-13,15.02
2013-06-14,15.0
2013-06-15,14.99
2013-06-16,14.99
2013-06-17,14.99
2013-06-18,14.99
2013-06-19,14.98
2013-06-20,14.98
2013-06-21,14.95
2013-06-22,14.95
2013-06-23,14.95
2013-06-24,14.99
2013-06-25,14.97
2013-06-26,14.95
2013-06-27,14.89
2013-06-28,14.72
2013-06-29,14.52
2013-06-30,14.58
2013-07-01,14.58
2013-07-02,14.55
2013-07-03,14.55
2013-07-04,14.57
2013-07-05,14.57
2013-07-06,14.44
2013-07-07,14.51
2013-07-08,14.44
2013-07-09,14.36
2013-07-10,14.19
2013-07-11,14.0
2013-07-12,13.95
2013-07-13,14.0
2013-07-14,14.0
2013-07-15,14.0
2013-07-16,14.0
2013-07-17,13.95
2013-07-18,13.95
2013-07-19,13.95
2013-07-20,13.81
2013-07-21,13.78
2013-07-22,13.69
2013-07-23,13.64
2013-07-24,13.61
2013-07-25,13.34
2013-07-26,13.28
2013-07-27,13.42
2013-07-28,13.29
2013-07-29,13.28
2013-07-30,13.26
2013-07-31,13.26
2013-08-01,13.25
2013-08-02,13.26
2013-08-03,13.26
2013-08-04,13.25
2013-08-05,13.13
2013-08-06,13.14
2013-08-07,13.0
2013-08-08,12.99
2013-08-09,12.99
2013-08-10,12.99
2013-08-11,12.99
2013-08-12,12.99
2013-08-13,12.89
2013-08-14,12.77
2013-08-15,12.64
2013-08-16,12.72
2013-08-17,12.83
2013-08-18,12.88
2013-08-19,12.86
2013-08-20,12.99
2013-08-21,13.0
2013-08-22,12.99
2013-08-23,12.99
2013-08-24,12.99
2013-08-25,13.0
2013-08-26,13.0
2013-08-27,13.0
2013-08-28,12.88
2013-08-29,12.99
2013-08-30,12.98
2013-08-31,12.95
2013-09-01,12.99
2013-09-02,12.99
2013-09-03,12.98
2013-09-04,12.95
2013-09-05,12.94
2013-09-06,12.95
2013-09-07,12.81
2013-09-08,12.81
2013-09-09,12.99
2013-09-10,12.99
2013-09-11,13.02
2013-09-12,13.0
2013-09-13,13.0
2013-09-14,13.0
2013-09-15,12.99
2013-09-16,12.99
2013-09-17,12.99
2013-09-18,12.99
2013-09-19,13.0
2013-09-20,12.99
2013-09-21,12.99
2013-09-22,12.99
2013-09-23,12.99
2013-09-24,12.99
2013-09-25,12.99
2013-09-26,12.99
2013-09-27,12.99
2013-09-28,12.99
2013-09-29,12.99
2013-09-30,12.99
2013-10-01,13.1
2013-10-02,13.1
2013-10-03,13.09
2013-10-04,13.02
2013-10-05,13.06
2013-10-06,13.06
2013-10-07,13.09
2013-10-08,13.1
2013-10-09,13.06
2013-10-10,13.0
2013-10-11,12.99
2013-10-12,13.0
2013-10-13,13.02
2013-10-14,13.06
2013-10-15,12.99
2013-10-16,12.99
2013-10-17,13.0
2013-10-18,12.99
2013-10-19,12.97
2013-10-20,12.94
2013-10-21,12.94
2013-10-22,12.94
2013-10-23,12.94
2013-10-24,12.94
2013-10-25,12.99
2013-10-26,12.99
2013-10-27,12.99
2013-10-28,12.94
2013-10-29,12.99
2013-10-30,12.95
2013-10-31,12.94
2013-11-01,12.94
2013-11-02,12.85
2013-11-03,12.94
2013-11-04,12.95
2013-11-05,12.9
2013-11-06,12.99
2013-11-07,12.99
2013-11-08,12.97
2013-11-09,12.99
2013-11-10,12.99
2013-11-11,12.99
2013-11-12,12.99
2013-11-13,12.99
2013-11-14,12.99
2013-11-15,12.99
2013-11-16,12.99
2013-11-17,12.99
2013-11-18,12.99
2013-11-19,12.99
2013-11-20,13.03
2013-11-21,13.06
2013-11-22,13.13
2013-11-23,13.26
2013-11-24,13.26
2013-11-25,13.29
2013-11-26,13.33
2013-11-27,13.26
2013-11-28,13.29
2013-11-29,13.26
2013-11-30,13.22
2013-12-01,13.33
2013-12-02,13.36
2013-12-03,13.33
2013-12-04,13.39
2013-12-05,13.39
2013-12-06,13.49
2013-12-07,13.49
2013-12-08,13.49
2013-12-09,13.49
2013-12-10,13.48
2013-12-11,13.48
2013-12-12,13.49
2013-12-13,13.48
2013-12-14,13.47
2013-12-15,13.49
2013-12-16,13.49
2013-12-17,13.49
2013-12-18,13.49
2013-12-19,13.49
2013-12-20,13.49
2013-12-21,13.49
2013-12-22,13.49
2013-12-23,13.49
2013-12-24,13.49
2013-12-25,13.62
2013-12-26,13.74
2013-12-27,13.84
2013-12-28,13.91
2013-12-29,13.97
2013-12-30,14.03
2013-12-31,14.14
2014-01-01,14.14
2014-01-02,14.14
2014-01-03,14.0
2014-01-04,13.99
2014-01-05,14.11
2014-01-06,14.1
2014-01-07,14.1
2014-01-08,14.2
2014-01-09,14.06
2014-01-10,14.09
2014-01-11,14.21
2014-01-12,14.2
2014-01-13,14.23
2014-01-14,14.52
2014-01-15,14.69
2014-01-16,14.8
2014-01-17,14.75
2014-01-18,14.71
2014-01-19,14.71
2014-01-20,14.75
2014-01-21,14.9
2014-01-22,14.97
