date,Arcbound Ravager value
2010-09-16,13.66
2010-09-19,13.66
2010-09-20,13.66
2010-09-21,13.66
2010-09-22,13.66
2010-09-23,13.66
2010-09-24,13.66
2010-09-25,13.66
2010-09-26,13.66
2010-09-27,13.66
2010-09-28,13.66
2010-09-29,13.66
2010-09-30,13.66
2010-10-01,13.66
2010-10-02,13.66
2010-10-03,13.66
2010-10-04,13.41
2010-10-05,13.66
2010-10-06,13.66
2010-10-07,13.66
2010-10-08,13.66
2010-10-09,13.66
2010-10-10,13.66
2010-10-11,14.31
2010-10-12,13.41
2010-10-13,14.38
2010-10-14,14.38
2010-10-15,14.39
2010-10-16,14.39
2010-10-17,14.41
2010-10-18,14.38
2010-10-19,14.38
2010-10-20,14.38
2010-10-21,13.66
2010-10-22,13.66
2010-10-23,13.66
2010-10-24,13.66
2010-10-25,14.38
2010-10-26,14.38
2010-10-27,14.38
2010-10-28,14.38
2010-10-29,14.38
2010-10-30,15.45
2010-10-31,15.45
2010-11-01,15.39
2010-11-02,15.39
2010-11-03,15.39
2010-11-04,14.49
2010-11-05,15.39
2010-11-06,15.39
2010-11-07,15.39
2010-11-08,15.32
2010-11-09,15.32
2010-11-10,15.32
2010-11-11,15.32
2010-11-12,15.32
2010-11-13,15.32
2010-11-14,15.32
2010-11-15,15.39
2010-11-16,15.39
2010-11-17,15.39
2010-11-18,15.39
2010-11-19,15.39
2010-11-20,15.39
2010-11-21,15.39
2010-11-22,15.39
2010-11-23,15.39
2010-11-24,15.39
2010-11-25,15.39
2010-11-26,15.39
2010-11-27,14.74
2010-11-28,14.74
2010-11-29,14.74
2010-11-30,14.74
2010-12-01,14.74
2010-12-02,14.74
2010-12-03,13.29
2010-12-04,13.77
2010-12-05,13.74
2010-12-06,13.58
2010-12-07,13.46
2010-12-08,13.62
2010-12-09,13.62
2010-12-10,13.62
2010-12-11,13.72
2010-12-12,13.72
2010-12-13,13.55
2010-12-14,13.55
2010-12-15,13.55
2010-12-16,13.55
2010-12-17,13.81
2010-12-18,13.81
2010-12-19,13.81
2010-12-20,13.81
2010-12-21,13.68
2010-12-22,13.51
2010-12-23,13.49
2010-12-24,13.47
2010-12-25,13.47
2010-12-26,13.59
2010-12-27,13.54
2010-12-28,13.65
2010-12-29,13.62
2010-12-30,13.62
2010-12-31,13.65
2011-01-01,13.62
2011-01-02,13.69
2011-01-03,13.69
2011-01-04,13.58
2011-01-05,13.61
2011-01-06,13.61
2011-01-07,13.56
2011-01-08,13.82
2011-01-09,13.81
2011-01-10,13.81
2011-01-11,13.86
2011-01-12,13.72
2011-01-13,13.79
2011-01-14,13.71
2011-01-15,13.83
2011-01-16,14.27
2011-01-17,14.25
2011-01-18,14.14
2011-01-19,14.0
2011-01-20,14.1
2011-01-21,13.85
2011-01-22,13.93
2011-01-23,13.93
2011-01-24,13.87
2011-01-25,13.81
2011-01-26,13.82
2011-01-27,13.81
2011-01-28,13.93
2011-01-29,13.93
2011-01-30,14.12
2011-01-31,14.12
2011-02-01,14.19
2011-02-02,14.12
2011-02-03,14.22
2011-02-04,14.13
2011-02-05,14.13
2011-02-06,14.13
2011-02-07,14.03
2011-02-08,14.04
2011-02-09,14.04
2011-02-10,14.43
2011-02-11,14.33
2011-02-12,14.33
2011-02-13,14.33
2011-02-14,13.77
2011-02-15,13.72
2011-02-16,13.74
2011-02-17,14.09
2011-02-18,13.89
2011-02-19,14.23
2011-02-20,14.42
2011-02-21,14.33
2011-02-22,14.3
2011-02-23,14.4
2011-02-24,14.53
2011-02-25,14.53
2011-02-26,14.53
2011-02-27,14.57
2011-02-28,14.81
2011-03-01,14.83
2011-03-02,14.83
2011-03-03,15.04
2011-03-04,15.12
2011-03-05,15.12
2011-03-06,15.12
2011-03-07,14.88
2011-03-08,14.87
2011-03-09,14.87
2011-03-10,14.87
2011-03-11,14.81
2011-03-12,14.43
2011-03-13,15.32
2011-03-14,15.47
2011-03-15,15.35
2011-03-16,15.29
2011-03-17,15.37
2011-03-18,15.68
2011-03-19,15.81
2011-03-20,34.29
2011-03-21,22.55
2011-03-22,18.25
2011-03-23,20.92
2011-03-24,20.38
2011-03-25,18.26
2011-03-26,17.72
2011-03-27,19.72
2011-03-28,23.15
2011-03-29,23.28
2011-03-30,23.28
2011-03-31,24.66
2011-04-01,24.66
2011-04-02,24.33
2011-04-03,24.33
2011-04-04,22.5
2011-04-05,22.14
2011-04-06,23.29
2011-04-07,22.69
2011-04-08,22.93
2011-04-09,22.93
2011-04-10,21.34
2011-04-11,21.57
2011-04-12,21.65
2011-04-13,21.97
2011-04-14,21.82
2011-04-15,22.11
2011-04-16,22.48
2011-04-17,22.01
2011-04-18,21.76
2011-04-19,21.97
2011-04-20,21.97
2011-04-21,21.97
2011-04-22,21.97
2011-04-23,21.97
2011-04-24,22.18
2011-04-25,22.04
2011-04-29,20.42
2011-04-30,20.42
2011-05-01,20.64
2011-05-02,21.24
